graph_id,n,m,edges,best_k,best_ordering,best_coloring,num_orderings,num_optimal_orderings,image_path,max_degree,avg_degree,clique_number,num_deg_ge_2,num_deg_ge_3,num_deg_ge_5,num_isolated,num_components,component_sizes,density
0,8,9,"[[0, 1], [0, 5], [0, 6], [2, 3], [2, 7], [3, 5], [3, 7], [4, 5], [5, 7]]",2,"[1, 0, 6, 4, 5, 3, 7, 2]","{""5"": 1, ""0"": 1, ""3"": 2, ""4"": 2, ""6"": 2, ""7"": 1, ""2"": 2, ""1"": 1}",40320,16,out_dataset\two_color\graph_0.png,4,2.25,3,5,4,0,0,1,[8],0.32142857142857145
1,8,8,"[[1, 2], [1, 5], [1, 6], [3, 4], [3, 5], [4, 5], [4, 6], [5, 6]]",2,"[0, 2, 1, 6, 5, 4, 3, 7]","{""4"": 1, ""5"": 2, ""6"": 1, ""1"": 2, ""3"": 2, ""0"": 1, ""2"": 1, ""7"": 1}",40320,24,out_dataset\two_color\graph_1.png,4,2.0,3,5,4,0,2,3,"[6, 1, 1]",0.2857142857142857
2,8,8,"[[0, 1], [0, 5], [0, 7], [1, 6], [1, 7], [2, 4], [2, 5], [4, 6]]",2,"[2, 4, 5, 6, 0, 1, 7, 3]","{""0"": 1, ""1"": 2, ""6"": 2, ""5"": 1, ""4"": 2, ""2"": 1, ""7"": 1, ""3"": 1}",40320,64,out_dataset\two_color\graph_2.png,3,2.0,3,7,2,0,1,2,"[7, 1]",0.2857142857142857
3,8,12,"[[0, 1], [0, 2], [0, 4], [0, 7], [1, 3], [1, 4], [2, 3], [2, 4], [3, 4], [3, 6], [4, 6], [6, 7]]",4,"[0, 1, 2, 4, 3, 5, 6, 7]","{""0"": 1, ""3"": 2, ""4"": 3, ""7"": 1, ""2"": 4, ""5"": 4, ""1"": 2, ""6"": 3}",40320,2836,out_dataset\other_color\graph_3.png,5,3.0,3,7,6,1,1,2,"[7, 1]",0.42857142857142855
4,8,13,"[[0, 3], [0, 4], [0, 5], [0, 6], [1, 5], [1, 6], [2, 3], [2, 5], [2, 6], [3, 4], [3, 7], [4, 6], [4, 7]]",3,"[1, 2, 5, 0, 6, 3, 4, 7]","{""6"": 1, ""0"": 2, ""2"": 3, ""3"": 3, ""5"": 2, ""1"": 1, ""4"": 2, ""7"": 1}",40320,40,out_dataset\three_color\graph_4.png,4,3.25,3,8,6,0,0,1,[8],0.4642857142857143
5,8,12,"[[0, 5], [0, 6], [0, 7], [1, 2], [1, 3], [1, 6], [2, 3], [2, 4], [2, 5], [3, 6], [4, 5], [5, 7]]",3,"[0, 7, 5, 4, 2, 1, 3, 6]","{""0"": 1, ""6"": 1, ""1"": 2, ""2"": 3, ""4"": 2, ""5"": 3, ""3"": 3, ""7"": 2}",40320,164,out_dataset\three_color\graph_5.png,4,3.0,3,8,6,0,0,1,[8],0.42857142857142855
6,8,12,"[[0, 1], [0, 3], [0, 4], [1, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [3, 4], [4, 7], [5, 6]]",3,"[0, 1, 3, 4, 2, 5, 7, 6]","{""2"": 1, ""3"": 2, ""4"": 3, ""5"": 2, ""1"": 1, ""7"": 3, ""0"": 3, ""6"": 1}",40320,64,out_dataset\three_color\graph_6.png,6,3.0,3,8,4,1,0,1,[8],0.42857142857142855
7,8,15,"[[0, 2], [0, 3], [0, 6], [0, 7], [1, 4], [1, 6], [1, 7], [2, 5], [2, 6], [2, 7], [3, 4], [4, 5], [4, 7], [5, 6], [6, 7]]",4,"[0, 2, 3, 4, 6, 7, 5, 1]","{""6"": 1, ""7"": 2, ""2"": 3, ""3"": 4, ""4"": 4, ""5"": 3, ""0"": 2, ""1"": 4}",40320,388,out_dataset\other_color\graph_7.png,5,3.75,4,8,7,2,0,1,[8],0.5357142857142857
8,8,10,"[[0, 3], [0, 7], [1, 3], [1, 5], [1, 6], [2, 5], [3, 4], [3, 7], [4, 5], [5, 7]]",3,"[0, 2, 7, 3, 5, 1, 4, 6]","{""3"": 1, ""5"": 2, ""7"": 3, ""1"": 3, ""2"": 2, ""4"": 1, ""0"": 1, ""6"": 2}",40320,382,out_dataset\three_color\graph_8.png,4,2.5,3,6,4,0,0,1,[8],0.35714285714285715
9,8,9,"[[0, 6], [1, 2], [1, 3], [1, 4], [2, 3], [4, 6], [4, 7], [5, 7], [6, 7]]",2,"[0, 5, 6, 7, 4, 1, 2, 3]","{""2"": 1, ""5"": 1, ""6"": 2, ""7"": 1, ""0"": 2, ""1"": 2, ""3"": 2, ""4"": 2}",40320,64,out_dataset\two_color\graph_9.png,3,2.25,3,6,4,0,0,1,[8],0.32142857142857145
10,8,11,"[[0, 1], [0, 3], [0, 7], [1, 3], [2, 3], [2, 5], [3, 7], [4, 5], [4, 7], [5, 6], [6, 7]]",3,"[0, 1, 3, 2, 5, 7, 4, 6]","{""7"": 1, ""3"": 2, ""0"": 1, ""5"": 3, ""1"": 3, ""2"": 3, ""4"": 2, ""6"": 3}",40320,440,out_dataset\three_color\graph_10.png,4,2.75,3,8,4,0,0,1,[8],0.39285714285714285
